model,class,psnr,ssim,fsim,lpips
SharpXR,Normal,32.319791258756794,0.8760807514190674,0.9188559055328369,0.23874859511852264
SharpXR,Normal,33.13102404260211,0.9032368659973145,0.934188723564148,0.17928780615329742
SharpXR,Normal,32.39250924643536,0.8914645910263062,0.9291465282440186,0.18646767735481262
SharpXR,Normal,34.10220115659929,0.9096928834915161,0.9298317432403564,0.20667748153209686
SharpXR,Normal,34.29084034279998,0.903269350528717,0.9321284890174866,0.20341747999191284
SharpXR,Normal,33.52427472079284,0.8941870331764221,0.919839084148407,0.2075166404247284
SharpXR,Normal,32.652124129603216,0.888837993144989,0.926688015460968,0.19517093896865845
SharpXR,Normal,32.03262719155982,0.8842597603797913,0.9287634491920471,0.20403169095516205
SharpXR,Normal,32.150344304042015,0.8635388612747192,0.9073419570922852,0.2656000554561615
SharpXR,Normal,33.17207898076368,0.9077540636062622,0.9322543740272522,0.16089984774589539
SharpXR,Normal,33.99193624871741,0.9200531244277954,0.9369494318962097,0.19541046023368835
SharpXR,Normal,34.25407217836899,0.92158043384552,0.9368889331817627,0.20439647138118744
SharpXR,Normal,32.82957705721461,0.8919591903686523,0.9231363534927368,0.2095223069190979
SharpXR,Normal,32.20925669239907,0.8529089689254761,0.8958629369735718,0.2725876569747925
SharpXR,Normal,32.26522561181352,0.8785073161125183,0.923959493637085,0.20136480033397675
SharpXR,Normal,34.236454191074316,0.9058222770690918,0.9283068776130676,0.2463996857404709
SharpXR,Normal,32.22756064175772,0.8615623712539673,0.90692538022995,0.2375255525112152
SharpXR,Normal,33.1680584492189,0.9041712284088135,0.9318251609802246,0.1825653612613678
SharpXR,Normal,34.73867937563801,0.9081844687461853,0.9299777746200562,0.25064659118652344
SharpXR,Normal,33.26507516896754,0.9098609685897827,0.9346611499786377,0.17537187039852142
SharpXR,Normal,32.80409458548961,0.8930804133415222,0.924493670463562,0.18119198083877563
SharpXR,Normal,32.19784282898119,0.8717069625854492,0.9181470274925232,0.24310189485549927
SharpXR,Normal,33.58966116205502,0.9205382466316223,0.9370330572128296,0.16204193234443665
SharpXR,Normal,31.668691812436712,0.8398045897483826,0.895712673664093,0.27111390233039856
SharpXR,Normal,33.80320876152996,0.9072011709213257,0.9342421293258667,0.19613897800445557
SharpXR,Normal,32.37944270315836,0.889606773853302,0.9260075092315674,0.19832119345664978
SharpXR,Normal,34.19747047496058,0.9157007336616516,0.9312669634819031,0.193088561296463
SharpXR,Normal,32.55456000146669,0.9052019715309143,0.9280747175216675,0.19190260767936707
SharpXR,Normal,32.72635977518844,0.8871393799781799,0.9271489977836609,0.20994380116462708
SharpXR,Normal,32.48189335828197,0.8702954649925232,0.9121893644332886,0.2259095311164856
SharpXR,Normal,34.28821082190191,0.9104099869728088,0.9362931847572327,0.20128217339515686
SharpXR,Normal,33.52629551142281,0.8980599045753479,0.9286372065544128,0.2161310315132141
SharpXR,Bacterial,34.53745447129579,0.9171454310417175,0.9270428419113159,0.2669786810874939
SharpXR,Bacterial,32.68979733156192,0.8904840350151062,0.9171559810638428,0.2646331191062927
SharpXR,Bacterial,34.798234831609946,0.9170036911964417,0.931465208530426,0.2491842359304428
SharpXR,Bacterial,34.30776733731922,0.9185892343521118,0.9254781603813171,0.25663191080093384
SharpXR,Bacterial,34.828696841478134,0.9124586582183838,0.9225336909294128,0.3126079738140106
SharpXR,Bacterial,34.24267702303847,0.9225596785545349,0.9347569942474365,0.22743597626686096
SharpXR,Bacterial,34.54786166378809,0.9173704385757446,0.924877405166626,0.2630547881126404
SharpXR,Bacterial,33.4919820222088,0.9072616696357727,0.9201785922050476,0.29900139570236206
SharpXR,Bacterial,34.72089710954036,0.91759192943573,0.9265629649162292,0.26289743185043335
SharpXR,Bacterial,33.594896596329065,0.8983069658279419,0.915582537651062,0.28183168172836304
SharpXR,Bacterial,32.30280725089095,0.8818148970603943,0.910657525062561,0.22006796300411224
SharpXR,Bacterial,33.31064636268194,0.9103956818580627,0.9329147934913635,0.19937242567539215
