arm,noise_level,psnr
ircnn,low,35.2899
ircnn,low,34.5145
ircnn,low,35.8468
ircnn,low,34.142
ircnn,low,35.8444
ircnn,low,35.5208
ircnn,low,36.6566
ircnn,low,35.6968
ircnn,low,35.8739
ircnn,low,34.8836
ircnn,low,36.05
ircnn,low,34.9107
ircnn,low,34.1018
ircnn,low,34.8167
ircnn,low,35.1134
ircnn,low,34.532
ircnn,low,36.259
ircnn,low,36.9636
ircnn,low,35.8579
ircnn,low,34.1644
ircnn,low,36.1172
ircnn,low,35.334
ircnn,low,34.3235
ircnn,low,34.8649
ircnn,low,34.5211
ircnn,low,35.5874
ircnn,low,35.4865
ircnn,low,35.7733
ircnn,low,35.6389
ircnn,low,33.7188
ircnn,low,36.8704
ircnn,low,36.3235
ircnn,low,36.5879
ircnn,low,36.5552
ircnn,low,36.324
ircnn,low,35.3104
ircnn,low,35.9963
ircnn,low,35.8203
ircnn,low,36.1281
ircnn,low,35.7769
ircnn,low,36.7943
ircnn,low,36.1624
ircnn,low,34.7341
ircnn,low,34.1293
ircnn,low,33.6858
ircnn,low,35.3339
ircnn,low,35.3664
ircnn,low,35.5123
ircnn,low,36.2606
ircnn,low,35.257
ircnn,low,34.4195
ircnn,low,35.6513
ircnn,low,34.0831
ircnn,low,36.7804
ircnn,low,34.8303
ircnn,low,34.8525
ircnn,low,36.2334
ircnn,low,35.2446
ircnn,low,36.5045
ircnn,low,35.1418
ircnn,low,34.8019
ircnn,low,36.3627
ircnn,low,35.4781
ircnn,low,34.9223
ircnn,low,35.9031
ircnn,low,35.3804
ircnn,low,33.6082
ircnn,low,33.9027
ircnn,low,34.116
ircnn,low,33.5387
ircnn,low,35.116
ircnn,low,34.6702
ircnn,low,35.6912
ircnn,low,36.1992
ircnn,low,34.953
ircnn,low,35.1577
ircnn,low,34.746
ircnn,low,34.9585
ircnn,low,33.6176
ircnn,low,34.8642
ircnn,low,34.2557
ircnn,low,35.8116
ircnn,low,34.7433
ircnn,low,36.749
ircnn,low,36.4135
ircnn,low,36.2804
ircnn,low,35.6309
ircnn,low,35.5073
ircnn,low,36.177
ircnn,low,33.5473
ircnn,low,34.9071
ircnn,low,34.7602
ircnn,low,34.1944
ircnn,low,33.934
ircnn,low,34.881
ircnn,low,35.7961
ircnn,low,35.6549
ircnn,low,35.4449
ircnn,low,36.6397
ircnn,low,35.8698
ircnn,low,36.8541
ircnn,low,36.8264
ircnn,low,36.8393
ircnn,low,34.3585
ircnn,low,36.2087
ircnn,low,35.3331
ircnn,low,36.3015
ircnn,low,34.6939
ircnn,low,36.2529
ircnn,low,35.5005
ircnn,low,35.4873
ircnn,low,36.0126
ircnn,low,36.5508
ircnn,low,35.3756
ircnn,low,34.4168
ircnn,low,35.7015
ircnn,low,35.524
ircnn,low,36.5877
ircnn,low,36.6325
ircnn,low,34.3704
ircnn,low,36.1299
ircnn,low,35.3489
ircnn,low,36.3515
ircnn,low,36.0887
ircnn,low,35.6736
ircnn,low,35.9944
ircnn,low,36.0926
ircnn,low,34.8972
ircnn,low,35.8134
ircnn,low,36.3535
ircnn,low,36.213
ircnn,low,34.7637
ircnn,low,36.4681
ircnn,low,33.6281
ircnn,low,35.9753
ircnn,low,35.0156
ircnn,low,35.4801
ircnn,low,34.1875
ircnn,low,33.1756
ircnn,low,35.6573
ircnn,low,34.8136
ircnn,low,35.7264
ircnn,low,35.116
ircnn,low,35.4895
ircnn,low,34.4479
ircnn,low,35.433
ircnn,low,34.8262
