model,class,psnr,ssim,lpips
A (L2),Normal,34.40052464438801,0.9123621582984924,0.19415444135665894
D (NLL+SSIM+FFL),Normal,33.32902606625521,0.8929229378700256,0.22811751067638397
H (PP-VAE),Normal,32.52156528035863,0.8749127984046936,0.27128875255584717
DnCNN,Normal,32.71761053638269,0.8752062320709229,0.2550872564315796
SCUNet,Normal,34.468623389319596,0.9131171107292175,0.18933585286140442
A (L2),Normal,35.02041877246142,0.9355984926223755,0.19804364442825317
D (NLL+SSIM+FFL),Normal,33.88326171480456,0.9175174832344055,0.2560608685016632
H (PP-VAE),Normal,33.119509604080164,0.9063876867294312,0.2955728769302368
DnCNN,Normal,33.17240540249391,0.9024356007575989,0.29616230726242065
SCUNet,Normal,35.06289250231945,0.9374036192893982,0.19410227239131927
A (L2),Normal,32.81164713500895,0.8758033514022827,0.23183050751686096
D (NLL+SSIM+FFL),Normal,31.722823022243386,0.8511801958084106,0.26833376288414
H (PP-VAE),Normal,31.156584056063203,0.8381542563438416,0.2978895902633667
DnCNN,Normal,31.373134140639507,0.8378534317016602,0.276162326335907
SCUNet,Normal,32.915279582725624,0.8787268996238708,0.22786958515644073
A (L2),Normal,33.03337925432515,0.8994633555412292,0.20151621103286743
D (NLL+SSIM+FFL),Normal,31.83597880925957,0.8751034736633301,0.24621781706809998
H (PP-VAE),Normal,30.98609520500124,0.8556420803070068,0.28892627358436584
DnCNN,Normal,31.24230412748706,0.8552305698394775,0.27970245480537415
SCUNet,Normal,33.10840310592341,0.9032619595527649,0.1937127709388733
A (L2),Normal,33.61223502589668,0.9088560342788696,0.19131289422512054
D (NLL+SSIM+FFL),Normal,32.423239201094695,0.8850114941596985,0.241461843252182
H (PP-VAE),Normal,31.416963150460532,0.8613256812095642,0.2933295667171478
DnCNN,Normal,31.73491190140346,0.8602333068847656,0.27808645367622375
SCUNet,Normal,33.600632957279004,0.9086316823959351,0.19147518277168274
A (L2),Normal,34.14446347012575,0.9098836779594421,0.19566145539283752
D (NLL+SSIM+FFL),Normal,33.028101441133,0.8881560564041138,0.25224608182907104
H (PP-VAE),Normal,32.51073396953232,0.8761476278305054,0.28519129753112793
DnCNN,Normal,32.608683176149434,0.8751683831214905,0.2696564197540283
SCUNet,Normal,34.28211115906184,0.9125044941902161,0.18915395438671112
A (L2),Normal,34.18199967259402,0.9272639751434326,0.15349149703979492
D (NLL+SSIM+FFL),Normal,32.9673339816688,0.9035618901252747,0.2048959881067276
H (PP-VAE),Normal,32.08625805217535,0.8893317580223083,0.24554267525672913
DnCNN,Normal,32.364621046452015,0.8882188200950623,0.2472548633813858
SCUNet,Normal,34.36654319396769,0.9278371930122375,0.1523418426513672
A (L2),Normal,33.18516949952108,0.8844247460365295,0.24391508102416992
D (NLL+SSIM+FFL),Normal,32.27038778620917,0.867425262928009,0.27987176179885864
H (PP-VAE),Normal,31.705531026688067,0.8548349738121033,0.30027735233306885
DnCNN,Normal,31.740070175123634,0.8491040468215942,0.2834584414958954
SCUNet,Normal,33.343202744901006,0.8878828883171082,0.23548375070095062
A (L2),Normal,33.152029372383936,0.9085935950279236,0.17444682121276855
D (NLL+SSIM+FFL),Normal,31.95001037594755,0.8826566338539124,0.2220945507287979
H (PP-VAE),Normal,30.973610189892604,0.8617807030677795,0.276694118976593
DnCNN,Normal,31.231747265162145,0.8590285778045654,0.25765734910964966
SCUNet,Normal,33.232404756947375,0.9100522994995117,0.1709071397781372
A (L2),Normal,34.01997562460676,0.9121473431587219,0.19366544485092163
D (NLL+SSIM+FFL),Normal,32.64361456234066,0.8881992101669312,0.24200251698493958
H (PP-VAE),Normal,31.689340671090463,0.8694810271263123,0.2908472418785095
DnCNN,Normal,31.89313807242971,0.8661860227584839,0.27321764826774597
SCUNet,Normal,34.18299402305428,0.915514349937439,0.1913299262523651
A (L2),Normal,31.990809075478165,0.8952109217643738,0.18443740904331207
D (NLL+SSIM+FFL),Normal,30.76503002258139,0.8656938076019287,0.2279544174671173
H (PP-VAE),Normal,29.88824743804214,0.8433302640914917,0.28407520055770874
DnCNN,Normal,30.109009007979495,0.8403639197349548,0.26876193284988403
SCUNet,Normal,32.161927447411934,0.8990591764450073,0.1795203685760498
A (L2),Normal,31.73753157049172,0.8604235053062439,0.2349577248096466
D (NLL+SSIM+FFL),Normal,30.98021457536168,0.8401196002960205,0.26771003007888794
H (PP-VAE),Normal,30.393870274481948,0.8218053579330444,0.3101138472557068
DnCNN,Normal,30.634041947035154,0.8232606053352356,0.29257386922836304
SCUNet,Normal,31.831463438184585,0.8634780645370483,0.2296290397644043
A (L2),Normal,31.884370187700775,0.8735934495925903,0.2238355278968811
D (NLL+SSIM+FFL),Normal,30.85461876051721,0.8523035049438477,0.2602080702781677
H (PP-VAE),Normal,30.33107152657117,0.8368871212005615,0.2972729206085205
DnCNN,Normal,30.489794373858146,0.832971453666687,0.2799217104911804
SCUNet,Normal,31.954782797319346,0.8750596642494202,0.2240886688232422
A (L2),Normal,31.38645289804094,0.8561192750930786,0.23749428987503052
D (NLL+SSIM+FFL),Normal,30.629233096420975,0.8368979692459106,0.26529380679130554
H (PP-VAE),Normal,30.251753817704504,0.8232573866844177,0.29418647289276123
DnCNN,Normal,30.29551201769128,0.8212610483169556,0.2804322838783264
SCUNet,Normal,31.4454840921656,0.8583067059516907,0.23555758595466614
A (L2),Normal,32.93886530008532,0.8857614398002625,0.23031166195869446
D (NLL+SSIM+FFL),Normal,31.86576339819267,0.8639789819717407,0.2744479775428772
H (PP-VAE),Normal,31.171581190526638,0.8502495884895325,0.30440542101860046
DnCNN,Normal,31.368904212684008,0.8488714694976807,0.2877245545387268
SCUNet,Normal,33.11237186901389,0.8894737362861633,0.2204783409833908
A (L2),Normal,35.135819675392405,0.9356246590614319,0.19204188883304596
D (NLL+SSIM+FFL),Normal,33.46011047352677,0.9133386611938477,0.2491854578256607
H (PP-VAE),Normal,32.95126519072841,0.9046337008476257,0.2754119634628296
DnCNN,Normal,33.13039274692279,0.9000758528709412,0.26333683729171753
